Column_or_Row_Name,Unit,Definition,Data_Type,Term_Type
sl_9,milligrams_dissolved_oxygen_per_hour_per_liter_sediment,Machine learning (ML) model prediction of respiration rate normalized to volume of sediment for the 9th ensemble member.,numeric,column_header
slp_dg_cav,degrees,Mean terrain slope over reach catchment.,numeric,column_header
slt_pc_cav,percent,Silt fraction in soil over reach catchment.,numeric,column_header
slt_pc_uav,percent,Silt fraction in soil over all upstream catchment.,numeric,column_header
snd_pc_cav,percent,Sand fraction in soil over reach catchment.,numeric,column_header
snd_pc_uav,percent,Sand fraction in soil over all upstream catchment.,numeric,column_header
snw_pc_cmx,percent,Annual maximum snow cover extent over reach.,numeric,column_header
snw_pc_cyr,percent,Annual average snow cover extent over reach.,numeric,column_header
snw_pc_uyr,percent,Annual average snow cover extent over all upstream watershed.,numeric,column_header
soc_th_cav,tonnes_per_hectar,Average organic carbon content in soil over reach catchment.,numeric,column_header
soc_th_uav,tonnes_per_hectar,Average organic carbon content in soli over all upstream watershed.,numeric,column_header
Source,N/A,Data source (WHONDRS = WH; RiverAtlas = RA) for summary table in manuscript.,text,column_header
Standard,N/A,Environmental System Science Data Infrastructure for a Virtual Ecosystem (ESS-DIVE) Reporting Format or other standard applied to the data file.,text,column_header
STAT_ID,N/A,GLORICH (GLObal RIver Chemistry Database) Station ID (generally integers treated as text).,text,column_header
std,milligrams_dissolved_oxygen_per_hour_per_liter_sediment,Standard deviation of the predicted respiration rate normalized to volume sediment over all SuperLearner (SL) ensemble members.,numeric,column_header
std(importance),N/A,Standard deviation of the feature permutation index (FPI) improvement ratio over all SuperLearner (SL) ensemble members.,numeric,column_header
swc_pc_cdi,percent,",",numeric,column_header
swc_pc_cyr,percent,Annual average soil water content over reach catchment.,numeric,column_header
swc_pc_uyr,percent,Annual average soil water content over all upstream watershed.,numeric,column_header
target,milligrams_dissolved_oxygen_per_hour_per_liter_sediment,Respiration rate normalized to volume of sediment. This is exactly the same data as in Normalized_Respiration_Rate_mg_DO_per_H_per_L_sediment but reproduced here for easy plotting of the Machine learning (ML) target (the observed value) versus the machine learning (ML) prediction.,numeric,column_header
Term_Type,N/A,Indicates whether the header is a column header or row header.,text,column_header
tmp_dc_cdi,degrees_Celsius,Range of annual minimum and maximum air temp. over reach catchment derived from RiverAtlas data.,numeric,column_header
tmp_dc_cyr,degrees_Celsius,Annual average air temp. over reach catchment.,numeric,column_header
tmp_dc_uyr,degrees_Celsius,Annual average air temp. over all upstream watershed.,numeric,column_header
TOC,micromol_per_liter,Total organic carbon as reported in GLORICH (GLObal RIver Chemistry Database). This data is present but not used in the machine learning since it is missing at too many sites.,numeric,column_header
Total_Bacteria_cells_per_gram,cells_per_gram,Total bacteria (rounded).,numeric,column_header
Total_Heterotrophs_cells_per_gram,cells_per_gram,Total heterotrophic bacteria. Calculated by subtracting total phototrophic bacteria from total bacteria prior to rounding.,numeric,column_header
Total_Photorophs_cells_per_gram,cells_per_gram,Total phototrophic bacteria (rounded).,numeric,column_header
Uncertainty in importance,N/A,Maximum of the standard deviation of the feature permutation index (FPI) improvement ratio for a particular feature over all individual SuperLearner (SL) ensemble members. This value is not plotted or used since it represents the intra-run uncertainty in the feature permutation index (FPI) improvement ratio (compare to std(Importance)).,numeric,column_header
Unit,N/A,Unit of measurement that applies to a given column in the data package.,text,column_header
urb_pc_cse,percent,Urbanization extent over reach catchment.,numeric,column_header
urb_pc_use,percent,Urbanization extent over all upstream watershed.,numeric,column_header
Water_Depth_cm,centimeters,Vertical distance between water surface and bed of sampling location.,numeric,column_header
WH_ID,N/A,WHONDRS (Worldwide Hydrobiogeochemistry Observation Network for Dynamic River Systems) site ID (same as Sample_ID; abbreviated due to very long headers).,numeric,column_header
WH_SO,N/A,Stream order from the WHONDRS (Worldwide Hydrobiogeochemistry Observation Network for Dynamic River Systems) data.,numeric,column_header
